[17758] debug @0.000014> timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @1.000832> timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @2.001903> timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @3.002493> timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @4.003041> timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @5.004475> timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @0.414181> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @1.415674> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @2.406710> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @3.408189> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @4.409603> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @5.411082> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @6.411888> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @7.413424> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @8.414000> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @9.415220> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @10.406675> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @11.408145> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @12.409125> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @13.410053> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @14.410672> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @15.414777> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @16.407061> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @17.409541> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @18.410792> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @19.411310> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @20.412514> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @21.414059> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @22.415572> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @23.407105> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @24.407776> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @25.408398> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
[17758] debug @26.409600> [hit #2]timer msg in /Users/tyler.neu/Code/HookKeeper/lib/HookKeeper.pm l. 10
